"iyear","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","gname","motive","guncertain1","weapsubtype1","weapsubtype1_txt"
1988,205,"Thailand",5,"Southeast Asia","Bangkok","Bangkok",13.727896,100.524123,1,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","A Kuwait Airways airplane","A Kuwait Airways plan leaving Bangkok bound for Kuwait","Hezbollah","The hijackers demanded that 17 Arab convicted bombers that were being held in Kuwaiti prisons be released in exchange for the safe release of the passengers",0,3,"Handgun"
1998,160,"Philippines",5,"Southeast Asia","Metropolitan Manila","Makati",14.55655,121.023144,1,7,"Facility/Infrastructure Attack",2,"Government (General)",21,"Government Building/Facility/Office","Energy Resources Board","Energy Resources Board office","Alex Boncayao Brigade (ABB)","The Brigade considered the recent increase in oil prices to be a crime.",0,2,"Automatic Weapon"
1998,205,"Thailand",5,"Southeast Asia","Narathiwat (Province)","Chanae District",6.057088,101.695444,3,2,"Armed Assault",14,"Private Citizens & Property",68,"Named Civilian","Civilian","Suriyan Jatutham","Unknown","Unknown",0,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Metropolitan Manila","Makati",14.55655,121.023144,1,3,"Bombing/Explosion",1,"Business",1,"Gas/Oil","Petron Oil Corporation","Offices of the Petron Oil Corporation","Alex Boncayao Brigade (ABB)","The Brigade considered the recent increase in oil prices to be a crime.",0,7,"Grenade"
1998,93,"Indonesia",5,"Southeast Asia","Lautem (District)","Los Palos",-8.522814,126.997171,1,8,"Unarmed Assault",19,"Transportation",99,"Bus (excluding tourists)","East Timorese Busing System","A bus near Los Palos","Ninjas","Unknown",0,22,"Hands, Feet, Fists"
1998,205,"Thailand",5,"Southeast Asia","Yala (Province)","Than Tho",6.168865,101.181128,3,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Thai Police","Police officers in Than Tho district","Pattani United Liberation Organization (PULO)","Unknown",0,7,"Grenade"
1998,160,"Philippines",5,"Southeast Asia","Basilan","Isabela",6.681959,121.985477,1,3,"Bombing/Explosion",3,"Police",22,"Police Building (headquarters, station, school)","Philippine Police","Police Headquarters in Isabela, Philippines","Abu Sayyaf Group (ASG)","Unknown",1,7,"Grenade"
1998,205,"Thailand",5,"Southeast Asia","Tak (Province)","Mae Sot District",16.723537,98.584374,3,2,"Armed Assault",13,"Other",65,"Refugee Camp","Huay Kaloke Refugee Camp","Huay Kaloke Refugee Camp for Myanmar refugees in Thailand","Democratic Karen Buddhist Army (DKBA)","Unknown",0,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Davao del Norte","Unknown",7.451959,125.807589,4,3,"Bombing/Explosion",1,"Business",7,"Retail/Grocery/Bakery","MM Balbacua Carenderia Store","MM Balbacua Carenderia Store in Davao del Norte, Philippines","Unknown","Unknown",0,7,"Grenade"
1998,160,"Philippines",5,"Southeast Asia","Davao del Norte","Unknown",7.451959,125.807589,4,2,"Armed Assault",14,"Private Citizens & Property",76,"House/Apartment/Residence","Civilians","A House in Davao del Norte, Philippines","Unknown","Unknown",0,5,"Unknown Gun Type"
